ZAVSIFMAT,ZAVMATNAZ,ZAVSIF,ZAVNAZ,KAT_MAT,KATEGORIJA,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBD_SIF,OBDOBJE,STEV_UCENCEV,DOG_SIF,DOGODEK,VZROK_SIF,VZROK
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,26.01.2021,04.02.2021,27.01.2021,1050,8. razred,8,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3063,Okužba s Covid-19 pri drugem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,27.01.2021,05.02.2021,27.01.2021,1051,9. razred,5,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,10.09.2020,19.09.2020,22.09.2020,1058,1. letnik,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1058,1. letnik,3,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1058,1. letnik,6,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3064,Okužba s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1058,1. letnik,5,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1059,2. letnik,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1059,2. letnik,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1060,3. letnik,2,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1060,3. letnik,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3062,Okužba s Covid-19 pri drugem strokovnem delavcu
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",9594,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik, Srednja šola",4010,3010,Osrednjeslovenska,Kamnik,11.09.2020,20.09.2020,22.09.2020,1062,5. letnik,4,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
