Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Cherry Mobile,Flare Y3 Pro,Flare_Y3_Pro,957MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi;armeabi-v7a,27,"3,2"
Cherry Mobile,Flare Y3 mini,Flare_Y3_mini,904MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi;armeabi-v7a,27,"3,2"
Cherry Mobile,Flare Y6,Flare_Y6,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Flare_Y6_Pro,Flare_Y6_Pro,1901MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi;armeabi-v7a,28,"3,2"
Cherry Mobile,Flare Y7,Flare_Y7,945MB,Phone,Mediatek MT6580,720x1520,320,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Flare Y7 LTE,Flare_Y7_LTE,892MB,Phone,Mediatek MT6739WW,720x1520,320,armeabi;armeabi-v7a,27,"3,2"
Cherry Mobile,Flare Y7 Pro,Flare_Y7_Pro,3768MB,Phone,Mediatek MT6761,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cherry Mobile,Fusion Aura 3s,Fusion_Aura_3s,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Omega HD 3S,H115,960MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,23,"2,0"
Cherry Mobile,Flare S8 Lite,H1950,1839MB,Phone,Mediatek MT6763,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cherry Mobile,Flare Y5,H2050,1906MB,Phone,Spreadtrum SC9832E,444x960,213,armeabi;armeabi-v7a,29,"3,2"
Cherry Mobile,Flare J3 Plus,H620,1976MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,23,"2,0"
Cherry Mobile,Spin Max,H650,959MB,Phone,Mediatek MT6580,1280x720,320,armeabi;armeabi-v7a,23,"2,0"
Cherry Mobile,Flare J3,H680,960MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,23,"2,0"
Cherry Mobile,One,H940_sprout,965MB,Phone,Mediatek MT6582,480x854,240,armeabi;armeabi-v7a,22;23,"2,0"
Cherry Mobile,Iris,Iris,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,23,"2,0"
Cherry Mobile,Omega HD 5,Omega_HD_5,951MB,Phone,Mediatek MT6580,720x1280,320,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Omega HD Duo,Omega_HD_Duo,1863MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,27,"3,1"
Cherry Mobile,Omega Icon 2,Omega_Icon_2,957MB,Phone,Mediatek MT6580,1280x720,320,armeabi;armeabi-v7a,24,"2,0"
Cherry Mobile,Omage Icon Lite 2,Omega_Icon_Lite_2,512MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Omega Lite 3s,Omega_Lite_3s,904MB,Phone,Spreadtrum SC7731,480x854,240,armeabi;armeabi-v7a,27,"3,2"
Cherry Mobile,Superion Radar Deluxe 2,Radar_Deluxe_2,904MB,Phone,Spreadtrum SC7731,800x1280,240,armeabi;armeabi-v7a,27,"3,2"
Cherry Mobile,Selfie Two,Selfie_Two,1902MB,Phone,Mediatek MT6737,1280x720,320,arm64-v8a;armeabi;armeabi-v7a,24,"3,1"
Cherry Mobile,Spin Max 2,Spin_Max_2,959MB,Phone,Mediatek MT6580M,480x960,240,armeabi;armeabi-v7a,27,"2,0"
Cherry Mobile,Superion S2,Superion_S2,915MB,Tablet,Spreadtrum SC7731E,600x1024,160,armeabi;armeabi-v7a,29,"3,2"
Cherry Mobile,Superion S2+,Superion_S2_Plus,1930MB,Phone,Spreadtrum SC7731E,800x1280,240,armeabi;armeabi-v7a,29,"3,2"
Cherry Mobile,Flare 5,X630,2934MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi;armeabi-v7a,23,"3,0"
Cherry Mobile,Flare S8,X930,2845MB,Phone,Mediatek MT6763,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
Cherry Mobile,Omega X,X960,2845MB,Phone,Mediatek MT6763,720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,"3,2"
