leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;Cepstatus_PC_zadnjiodm_6mes;Cepstatus_Ostali;Cepstatus_PC_zadnjiodm_6mes_vec65_let;SARI_covid_vsi_np_cepstatus;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_covid_vsi;smrt_SARI_covid;odpust_covid_vsi;odpust_SARI_covid;SARI_sprejeti_EIZ;SARI_testirani_EIZ;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let;Stbolnisnic
2021_09;391;376;224;;;;0;54;15;11;45;37;277;232;45;43;38;70;82;67;1;0;0;0;6;14;45;64;71;23;0;0;0;0;2;3;8;16;8;1;0;0;0;0;0;0;1;10;9;17;26
2021_10;384;377;172;;;;1;35;9;25;44;37;251;183;45;43;37;71;80;68;0;0;1;1;7;10;33;42;52;26;0;0;0;0;3;2;5;15;12;0;0;0;0;0;0;0;0;7;20;10;26
2021_11;454;444;236;;;;6;39;4;38;42;32;232;175;57;57;47;67;80;64;0;0;2;0;12;23;56;66;57;20;0;0;0;0;4;5;13;15;10;0;0;0;0;0;0;0;5;4;12;11;26
2021_12;463;455;268;;;;4;49;7;27;49;31;259;200;95;91;57;66;78;63;1;1;3;3;18;28;54;94;41;25;0;0;1;0;4;5;18;20;9;0;0;0;0;0;0;0;2;8;11;10;26
2021_13;463;453;300;;;;5;45;7;15;58;51;272;206;75;73;61;65;76;65;5;0;2;5;11;34;75;92;54;22;0;0;0;1;1;7;16;27;9;0;0;0;0;0;1;1;3;16;20;10;29
2021_14;508;504;342;;;;2;34;13;25;46;38;276;231;80;79;70;66;79;66;0;1;2;1;17;56;68;117;52;28;0;0;1;0;2;6;18;31;10;2;0;0;0;0;0;0;2;13;13;10;29
2021_15;472;465;312;;;;3;50;9;31;40;27;326;278;80;78;61;65;80;61;0;0;1;3;22;53;70;85;46;32;0;0;0;0;5;12;14;27;3;0;0;0;0;0;0;0;4;4;7;12;29
2021_16;439;435;291;;;;1;49;14;35;49;41;322;266;77;74;60;64;77;62;3;0;3;6;15;42;62;92;50;18;0;0;0;2;4;12;13;20;9;0;0;0;0;0;0;2;1;14;12;12;29
2021_17;376;368;249;;;;3;37;7;14;52;40;293;227;57;55;50;63;76;61;0;0;1;7;18;42;62;70;37;12;0;0;1;1;3;9;11;21;4;0;0;0;0;0;0;0;4;18;9;9;29
2021_18;398;393;222;;;;1;36;6;12;30;22;316;248;70;66;57;61;75;61;0;0;3;8;24;47;44;44;30;22;0;0;2;0;3;9;17;17;9;0;0;0;0;0;0;0;3;8;7;4;29
