TheISOYearWeek,TheDate,st_test_PCR,st_test_HAGT,st_potrjenih_primerov
2021-27,2021-07-06,2115,17666,73
2021-27,2021-07-07,1720,19578,69
2021-27,2021-07-08,1704,25081,81
2021-27,2021-07-09,1641,36613,81
2021-27,2021-07-10,774,12446,24
2021-27,2021-07-11,570,6231,11
2021-28,2021-07-12,1854,26487,84
2021-28,2021-07-13,1758,17000,83
2021-28,2021-07-14,1694,20510,56
2021-28,2021-07-15,1685,24866,63
2021-28,2021-07-16,1733,38996,61
2021-28,2021-07-17,819,14723,21
2021-28,2021-07-18,591,7103,9
2021-29,2021-07-19,1737,28940,89
2021-29,2021-07-20,1807,19091,110
2021-29,2021-07-21,1448,20844,70
2021-29,2021-07-22,1641,25041,58
2021-29,2021-07-23,1867,44217,93
2021-29,2021-07-24,740,18017,32
2021-29,2021-07-25,593,8116,21
2021-30,2021-07-26,1652,28826,106
2021-30,2021-07-27,1587,19899,85
2021-30,2021-07-28,1480,21298,99
2021-30,2021-07-29,1690,26936,117
2021-30,2021-07-30,1678,46100,135
2021-30,2021-07-31,764,19749,58
2021-30,2021-08-01,648,9338,31
2021-31,2021-08-02,1777,29301,181
2021-31,2021-08-03,1590,19083,139
2021-31,2021-08-04,1614,21267,139
2021-31,2021-08-05,1775,25213,143
2021-31,2021-08-06,1578,42978,134
2021-31,2021-08-07,778,20004,67
2021-31,2021-08-08,671,7659,46
2021-32,2021-08-09,1857,28196,219
2021-32,2021-08-10,1977,19749,247
2021-32,2021-08-11,1831,20953,250
2021-32,2021-08-12,1844,23784,199
2021-32,2021-08-13,1872,44901,264
2021-32,2021-08-14,921,21422,97
2021-32,2021-08-15,803,8252,57
2021-33,2021-08-16,2062,29536,318
2021-33,2021-08-17,2238,20168,387
2021-33,2021-08-18,2238,21989,382
2021-33,2021-08-19,2481,25902,335
2021-33,2021-08-20,2121,47280,388
2021-33,2021-08-21,1399,24230,246
2021-33,2021-08-22,755,11473,117
2021-34,2021-08-23,2489,27842,476
2021-34,2021-08-24,2806,18111,509
2021-34,2021-08-25,2935,20431,511
2021-34,2021-08-26,2955,20384,544
2021-34,2021-08-27,3104,34396,540
2021-34,2021-08-28,1396,16470,277
2021-34,2021-08-29,888,6626,144
2021-35,2021-08-30,2919,34876,541
2021-35,2021-08-31,3790,23619,772
2021-35,2021-09-01,3613,21001,668
2021-35,2021-09-02,3303,21654,611
2021-35,2021-09-03,3757,37339,743
2021-35,2021-09-04,1710,16106,318
2021-35,2021-09-05,1429,6892,236
2021-36,2021-09-06,3947,38265,881
2021-36,2021-09-07,5161,22892,1095
2021-36,2021-09-08,4924,25166,1019
2021-36,2021-09-09,5188,22897,999
2021-36,2021-09-10,5491,39047,1088
2021-36,2021-09-11,2723,16815,560
2021-36,2021-09-12,1657,6635,285
2021-37,2021-09-13,5668,30597,1394
2021-37,2021-09-14,6747,26272,1365
2021-37,2021-09-15,6707,39057,1327
2021-37,2021-09-16,6534,31834,1145
2021-37,2021-09-17,6255,43426,1253
2021-37,2021-09-18,2579,18620,545
2021-37,2021-09-19,1706,9430,292
2021-38,2021-09-20,5729,41131,1308
2021-38,2021-09-21,5937,29452,1189
2021-38,2021-09-22,5620,31849,1012
2021-38,2021-09-23,5472,28161,941
2021-38,2021-09-24,5537,41268,1007
2021-38,2021-09-25,2316,17529,447
2021-38,2021-09-26,1443,7612,286
2021-39,2021-09-27,4790,37915,1041
2021-39,2021-09-28,6411,25228,1342
2021-39,2021-09-29,5756,28033,1028
2021-39,2021-09-30,5335,26185,973
2021-39,2021-10-01,5002,34415,993
2021-39,2021-10-02,2443,15237,533
2021-39,2021-10-03,1201,7734,225
2021-40,2021-10-04,4787,33728,980
2021-40,2021-10-05,6177,22555,1209
2021-40,2021-10-06,5340,24239,969
2021-40,2021-10-07,4713,21450,842
2021-40,2021-10-08,4615,30334,883
2021-40,2021-10-09,2049,13172,489
2021-40,2021-10-10,1012,6017,188
2021-41,2021-10-11,4562,31007,1005
2021-41,2021-10-12,5692,21231,1229
2021-41,2021-10-13,5379,23940,1082
2021-41,2021-10-14,5141,21381,1105
2021-41,2021-10-15,5724,30982,1438
2021-41,2021-10-16,2279,13970,632
2021-41,2021-10-17,1357,6520,364
2021-42,2021-10-18,5237,30452,1673
2021-42,2021-10-19,7370,21052,2155
2021-42,2021-10-20,6645,24817,1853
2021-42,2021-10-21,6875,21961,1969
2021-42,2021-10-22,7509,33487,2272
2021-42,2021-10-23,4458,18399,1498
2021-42,2021-10-24,2084,7453,709
2021-43,2021-10-25,6076,31894,2296
2021-43,2021-10-26,8313,23417,3138
2021-43,2021-10-27,7332,26984,2632
2021-43,2021-10-28,6802,24894,2517
2021-43,2021-10-29,7609,32942,2991
2021-43,2021-10-30,3954,19112,1664
2021-43,2021-10-31,2643,6894,1258
2021-44,2021-11-01,2641,7566,1136
2021-44,2021-11-02,7757,36846,3462
2021-44,2021-11-03,10176,25675,4518
2021-44,2021-11-04,9983,28311,3779
2021-44,2021-11-05,9643,32600,3664
2021-44,2021-11-06,5456,16762,2326
2021-44,2021-11-07,2962,8462,1288
2021-45,2021-11-08,7622,57258,3348
2021-45,2021-11-09,10579,41571,4483
2021-45,2021-11-10,9082,58755,3573
2021-45,2021-11-11,9128,49470,3434
2021-45,2021-11-12,9220,71570,3667
2021-45,2021-11-13,5351,38236,2369
2021-45,2021-11-14,3416,16692,1820
2021-46,2021-11-15,7654,82983,3771
2021-46,2021-11-16,10053,55047,4283
2021-46,2021-11-17,9223,71836,3667
2021-46,2021-11-18,8283,60433,3518
2021-46,2021-11-19,8134,86313,3239
2021-46,2021-11-20,4743,46556,2248
2021-46,2021-11-21,2739,20515,1390
2021-47,2021-11-22,7351,90865,3400
2021-47,2021-11-23,8623,58102,3143
2021-47,2021-11-24,7210,77387,2670
2021-47,2021-11-25,6528,64044,2367
2021-47,2021-11-26,6147,86821,2229
2021-47,2021-11-27,3421,47881,1481
2021-47,2021-11-28,2231,21893,1039
2021-48,2021-11-29,6291,93592,2484
2021-48,2021-11-30,6983,60129,2258
2021-48,2021-12-01,6243,79858,2128
2021-48,2021-12-02,5530,62024,1739
2021-48,2021-12-03,5518,93759,1908
2021-48,2021-12-04,2995,52002,1116
2021-48,2021-12-05,1857,23049,774
2021-49,2021-12-06,5487,96174,1955
2021-49,2021-12-07,6576,58952,1852
2021-49,2021-12-08,5946,81706,1688
2021-49,2021-12-09,5053,59017,1324
2021-49,2021-12-10,5052,95552,1480
2021-49,2021-12-11,2230,55244,786
2021-49,2021-12-12,1750,27577,677
2021-50,2021-12-13,5113,97735,1716
2021-50,2021-12-14,5907,65309,1530
