date,deceased
2012-12-19,59
2012-12-20,60
2012-12-21,49
2012-12-22,50
2012-12-23,67
2012-12-24,47
2012-12-25,70
2012-12-26,51
2012-12-27,61
2012-12-28,60
2012-12-29,62
2012-12-30,50
2012-12-31,56
2013-01-01,62
2013-01-02,61
2013-01-03,53
2013-01-04,59
2013-01-05,56
2013-01-06,70
2013-01-07,61
2013-01-08,59
2013-01-09,61
2013-01-10,59
2013-01-11,69
2013-01-12,67
2013-01-13,53
2013-01-14,57
2013-01-15,66
2013-01-16,68
2013-01-17,56
2013-01-18,63
2013-01-19,65
2013-01-20,63
2013-01-21,67
2013-01-22,66
2013-01-23,66
2013-01-24,57
2013-01-25,54
2013-01-26,73
2013-01-27,70
2013-01-28,59
2013-01-29,61
2013-01-30,68
2013-01-31,72
2013-02-01,63
2013-02-02,69
2013-02-03,71
2013-02-04,57
2013-02-05,63
2013-02-06,69
2013-02-07,71
2013-02-08,57
2013-02-09,57
2013-02-10,50
2013-02-11,74
2013-02-12,64
2013-02-13,60
2013-02-14,62
2013-02-15,65
2013-02-16,56
2013-02-17,70
2013-02-18,57
2013-02-19,74
2013-02-20,75
2013-02-21,62
2013-02-22,62
2013-02-23,73
2013-02-24,61
2013-02-25,65
2013-02-26,68
2013-02-27,71
2013-02-28,77
2013-03-01,74
2013-03-02,69
2013-03-03,57
2013-03-04,65
2013-03-05,79
2013-03-06,74
2013-03-07,46
2013-03-08,62
2013-03-09,55
2013-03-10,67
2013-03-11,74
2013-03-12,58
2013-03-13,57
2013-03-14,49
2013-03-15,66
2013-03-16,71
2013-03-17,69
2013-03-18,67
2013-03-19,68
2013-03-20,63
2013-03-21,56
2013-03-22,65
2013-03-23,53
2013-03-24,50
2013-03-25,55
2013-03-26,49
2013-03-27,58
2013-03-28,59
2013-03-29,67
2013-03-30,49
2013-03-31,59
2013-04-01,51
2013-04-02,51
2013-04-03,71
2013-04-04,65
2013-04-05,69
2013-04-06,60
2013-04-07,56
2013-04-08,47
2013-04-09,59
2013-04-10,60
2013-04-11,61
2013-04-12,55
2013-04-13,74
2013-04-14,57
2013-04-15,50
2013-04-16,62
2013-04-17,49
2013-04-18,61
2013-04-19,63
2013-04-20,52
2013-04-21,80
2013-04-22,47
2013-04-23,54
2013-04-24,58
2013-04-25,45
2013-04-26,62
2013-04-27,69
2013-04-28,56
2013-04-29,45
2013-04-30,58
2013-05-01,41
2013-05-02,53
2013-05-03,44
2013-05-04,48
2013-05-05,55
2013-05-06,48
2013-05-07,60
2013-05-08,50
2013-05-09,57
2013-05-10,50
2013-05-11,61
2013-05-12,46
2013-05-13,53
2013-05-14,59
2013-05-15,45
2013-05-16,41
2013-05-17,53
2013-05-18,48
2013-05-19,49
2013-05-20,36
2013-05-21,51
2013-05-22,39
2013-05-23,56
2013-05-24,49
2013-05-25,59
2013-05-26,58
2013-05-27,44
2013-05-28,47
2013-05-29,46
2013-05-30,52
2013-05-31,38
2013-06-01,54
2013-06-02,42
2013-06-03,57
2013-06-04,44
2013-06-05,49
2013-06-06,52
2013-06-07,51
2013-06-08,46
2013-06-09,61
2013-06-10,39
2013-06-11,52
2013-06-12,45
2013-06-13,52
2013-06-14,57
2013-06-15,55
2013-06-16,66
2013-06-17,73
2013-06-18,68
2013-06-19,58
2013-06-20,62
2013-06-21,66
2013-06-22,67
2013-06-23,61
2013-06-24,65
2013-06-25,54
2013-06-26,50
2013-06-27,55
2013-06-28,59
2013-06-29,43
2013-06-30,44
2013-07-01,46
2013-07-02,52
2013-07-03,40
2013-07-04,51
2013-07-05,46
2013-07-06,50
2013-07-07,53
2013-07-08,67
2013-07-09,51
2013-07-10,57
2013-07-11,60
2013-07-12,52
2013-07-13,43
2013-07-14,49
2013-07-15,52
2013-07-16,42
2013-07-17,56
2013-07-18,41
2013-07-19,51
2013-07-20,48
2013-07-21,57
2013-07-22,56
2013-07-23,59
2013-07-24,38
2013-07-25,55
2013-07-26,48
2013-07-27,58
2013-07-28,53
2013-07-29,73
2013-07-30,36
2013-07-31,57
2013-08-01,52
2013-08-02,55
2013-08-03,56
2013-08-04,42
2013-08-05,50
2013-08-06,64
2013-08-07,59
2013-08-08,60
2013-08-09,48
2013-08-10,54
2013-08-11,47
2013-08-12,48
2013-08-13,56
2013-08-14,60
2013-08-15,47
2013-08-16,39
2013-08-17,46
2013-08-18,36
2013-08-19,56
2013-08-20,59
2013-08-21,49
2013-08-22,43
2013-08-23,50
2013-08-24,50
2013-08-25,44
2013-08-26,53
2013-08-27,50
2013-08-28,44
2013-08-29,39
2013-08-30,58
2013-08-31,42
2013-09-01,41
2013-09-02,48
2013-09-03,48
2013-09-04,44
2013-09-05,56
2013-09-06,48
2013-09-07,43
2013-09-08,51
2013-09-09,43
2013-09-10,64
2013-09-11,46
2013-09-12,59
2013-09-13,48
2013-09-14,59
2013-09-15,57
2013-09-16,63
2013-09-17,48
2013-09-18,52
2013-09-19,56
2013-09-20,58
2013-09-21,51
2013-09-22,48
2013-09-23,56
2013-09-24,47
2013-09-25,46
2013-09-26,59
2013-09-27,68
2013-09-28,62
2013-09-29,49
2013-09-30,49
2013-10-01,46
2013-10-02,68
2013-10-03,42
2013-10-04,57
2013-10-05,48
2013-10-06,36
2013-10-07,69
2013-10-08,42
2013-10-09,46
2013-10-10,48
2013-10-11,64
2013-10-12,64
2013-10-13,53
2013-10-14,56
2013-10-15,55
2013-10-16,54
2013-10-17,56
2013-10-18,60
2013-10-19,52
2013-10-20,55
2013-10-21,62
2013-10-22,46
2013-10-23,53
2013-10-24,59
2013-10-25,51
2013-10-26,53
2013-10-27,43
2013-10-28,60
2013-10-29,50
2013-10-30,48
2013-10-31,45
2013-11-01,42
2013-11-02,48
2013-11-03,63
2013-11-04,48
2013-11-05,61
2013-11-06,44
2013-11-07,51
2013-11-08,59
2013-11-09,46
2013-11-10,38
2013-11-11,53
2013-11-12,51
2013-11-13,50
2013-11-14,56
2013-11-15,48
2013-11-16,50
2013-11-17,41
2013-11-18,48
2013-11-19,43
2013-11-20,38
2013-11-21,56
2013-11-22,54
2013-11-23,54
2013-11-24,57
2013-11-25,53
2013-11-26,57
2013-11-27,59
2013-11-28,55
2013-11-29,53
2013-11-30,52
2013-12-01,55
2013-12-02,53
2013-12-03,59
2013-12-04,50
2013-12-05,47
2013-12-06,57
2013-12-07,62
2013-12-08,48
2013-12-09,58
2013-12-10,56
2013-12-11,62
2013-12-12,54
2013-12-13,54
2013-12-14,55
2013-12-15,61
2013-12-16,61
2013-12-17,55
2013-12-18,44
2013-12-19,36
2013-12-20,59
2013-12-21,42
2013-12-22,70
2013-12-23,65
2013-12-24,81
2013-12-25,55
2013-12-26,57
2013-12-27,61
2013-12-28,70
2013-12-29,53
2013-12-30,62
2013-12-31,63
