id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
velike_lašče,lj,SI-134,Velike Lašče,4452,1012,0.22731356693620844,583,0.13095238095238096
veržej,ms,SI-188,Veržej,1344,278,0.20684523809523808,158,0.11755952380952381
videm,mb,SI-135,Videm,5680,957,0.16848591549295774,365,0.06426056338028169
vipava,ng,SI-136,Vipava,5763,1513,0.26253687315634217,826,0.1433281277112615
vitanje,ce,SI-137,Vitanje,2277,288,0.12648221343873517,154,0.06763285024154589
vodice,lj,SI-138,Vodice,4956,970,0.19572235673930588,408,0.08232445520581114
vojnik,ce,SI-139,Vojnik,8980,1578,0.17572383073496659,886,0.09866369710467705
vransko,ce,SI-189,Vransko,2642,608,0.23012869038607117,305,0.11544284632853899
vrhnika,lj,SI-140,Vrhnika,17655,3863,0.21880487114131975,2200,0.12461059190031153
vuzenica,sg,SI-141,Vuzenica,2655,464,0.17476459510357814,246,0.09265536723163842
zagorje_ob_savi,za,SI-142,Zagorje ob Savi,16402,4142,0.25253017924643334,1657,0.10102426533349591
zavrč,mb,SI-143,Zavrč,1485,196,0.13198653198653199,72,0.048484848484848485
zreče,ce,SI-144,Zreče,6586,961,0.14591557849984815,465,0.07060431217734589
žalec,ce,SI-190,Žalec,21557,4552,0.21116110776082014,2371,0.10998747506610382
železniki,kr,SI-146,Železniki,6686,1231,0.18411606341609332,697,0.10424768172300329
žetale,mb,SI-191,Žetale,1311,136,0.10373760488176964,69,0.05263157894736842
žiri,kr,SI-147,Žiri,4952,1214,0.2451534733441034,621,0.1254038772213247
žirovnica,kr,SI-192,Žirovnica,4425,1017,0.22983050847457628,541,0.12225988700564971
žužemberk,nm,SI-193,Žužemberk,4694,749,0.1595654026416702,310,0.06604175543246697
