#,id,name,name_alt,municipality,region,type,occupants,employees,tax-id,url,url-social,geo-longitude,geo-latitude,openstreetmap
15,aus,Avstrija,Avstrija,,T,,,,,slovenski zaposleni v tujih domovih,,,,
16,dom,Dom upokojencev Domžale,Domžale,Domžale,LJ,J,170,97,91257107,http://www.dom-upokojencev-domzale.com/,https://www.facebook.com/domdomzale,"46,1381193","14,5958821",https://www.openstreetmap.org/way/334608733
17,zal,"Dom Nine Pokorn Grmovje, Žalec",Žalec,Žalec,CE,P,246,140,87163403,http://www.dnpg.si/,,"46,2853490","15,1936350",https://www.openstreetmap.org/way/412739258
18,osc,"Dom ob Savinji, Celje",Celje-Dom ob Savinji,Celje,CE,J,252,144,76851184,https://www.domobsavinji.si/,,"46,2293320","15,2583140",
19,las,"THERMANA d.d., Dom starejših, Laško",Laško,Laško,CE,Z,150,86,64654745,,https://www.facebook.com/domstarejsihlasko/,"46,1618651","15,2297613",https://www.openstreetmap.org/way/579387762
20,sen,Dom starejših Šentjur,Šentjur,Šentjur,CE,J,167,95,28235649,,https://www.facebook.com/domsentjur/,"46,2224170","15,4001630",
21,sjc,Dom sv. Jožefa Celje,Celje-Dom sv. Jožefa,Celje,CE,Z,110,63,74106295,http://www.jozef.si/kategorija/varstvo-starejsih/,,"46,2270820","15,2780010",
22,plz,Dom upokojencev Polzela,Polzela,Polzela,CE,J,224,128,78494214,http://www.dupolzela.si/,,"46,2844480","15,0761530",
23,voj,"Contraco d.o.o., Špeson dom Vojnik",Vojnik,Vojnik,CE,Z,154,88,60807245,http://www.dom-vojnik.si/,,"46,2910760","15,3074450",
24,slk,"""Lambrechtov dom"" Slovenske Konjice",Slovenske Konjice,Slovenske Konjice,CE,J,160,91,71668454,,https://www.facebook.com/lambrechtovdom/,"46,3383220","15,4201050",
25,rgs,"Comett domovi Lj., Pegazov dom Rogaška Slatina",Rogaška Slatina,Rogaška Slatina,CE,Z,119,68,83737766,http://www.pegazov-dom.si/,,"46,2399790","15,6322520",
26,vra,"Zavod sv. Rafaela, Vransko",Vransko,Vransko,CE,Z,60,34,85543004,http://www.nasdom-vransko.com/,,"46,2468190","14,9540690",
27,ajd,Dom starejših občanov Ajdovščina,Ajdovščina,Ajdovščina,NG,J,151,86,89835611,http://www.dso-ajdovscina.si/,,"45,8829710","13,9136990",
28,grd,"Dom upokojencev Gradišče, Nova Gorica",Nova Gorca-Gradišče,Nova Gorica,NG,J,146,83,15958957,https://www.domgradisce.si/,,"45,8835060","13,7186200",
29,ng,"Dom upokojencev Nova Gorica, matična enota",Nova Gorica (mat. en.),Nova Gorica,NG,J,230,131,38590522,,https://www.facebook.com/domnovagorica/,"45,9520000","13,6475999",https://www.openstreetmap.org/way/494023277
30,ngs,"Dom upokojencev Nova Gorica, enota Podsabotin, Brda",Nova Gorica-Podsabotin,Nova Gorica,NG,J,94,54,38590522,,https://www.facebook.com/domnovagorica/,,,
31,pdb,"Dom upokojencev Podbrdo, matična enota",Podbrdo (mat. en.),Tolmin,NG,J,129,74,90097114,http://www.dompodbrdo.si/,,,,
32,pdbt,"Dom upokojencev Podbrdo, enota Tolmin",Podbrdo-Tolmin,Tolmin,NG,J,139,79,90097114,http://www.dompodbrdo.si/,,,,
33,pdpb,"Dom upokojencev Podbrdo, enota Petrovo Brdo, posebni",Podbrdo-Petrovo Brdo,Tolmin,NG,J,95,54,90097114,http://www.dompodbrdo.si/,,,,
34,mtr,Medichotel Turzis Renče,Renče-Vogrsko,Renče-Vogrsko,NG,Z,32,18,41769597,http://www.medichotel.com/,,"45,8873580","13,6795630",
35,zpv,"Zavod Pristan, Center starejših Pristan, Vipava",Vipava,Vipava,NG,Z,100,57,89564472,https://www.pristan.si/novice/,,"45,8448460","13,9591380",
36,krs,Dom starejših občanov Krško,Krško,Krško,KK,J,219,125,81466757,http://www.dsokrsko.si/,,"45,9438500","15,4850017",https://www.openstreetmap.org/way/402838001
37,bre,"Dom upokojencev in oskrbovancev Impoljca, enota Brežice",Brežice,Brežice,KK,J,116,66,48982822,http://www.impoljca.si/,,"45,8998232","15,5944603",https://www.openstreetmap.org/way/440073085
38,imp,"Dom upokojencev in oskrbovancev Impoljca, matična enota",Sevnica (mat. en.),Sevnica,KK,J,295,168,48982822,http://www.impoljca.si/,,,,
39,sev,"Dom upokojencev in oskrbovancev Impoljca, enota Sevnica",Sevnica,Sevnica,KK,J,95,54,48982822,http://www.impoljca.si/,,"45,9915679","15,3559684",https://www.openstreetmap.org/way/483232467
