id,region,name,name_alt,iso_code,population,area,pop_dens,geo-longitude,geo-latitude
tržič,kr,Tržič,,SI-131,15054,155,97,14.552327665,46.127884930
turnišče,ms,Turnišče,,SI-132,3190,24,131,16.313480802,46.616073703
velenje,ce,Velenje,,SI-133,33715,84,401,15.133026665,46.369147111
velika_polana,ms,Velika Polana,,SI-187,1380,19,73,16.353586787,46.578775004
velike_lašče,lj,Velike Lašče,,SI-134,4520,103,43,14.587161100,45.843121460
veržej,ms,Veržej,,SI-188,1344,12,110,16.164071210,46.582574004
videm,mb,Videm,,SI-135,5684,80,70,15.892917203,46.346997827
vipava,ng,Vipava,,SI-136,5767,107,53,13.984860316,45.821878976
vitanje,ce,Vitanje,,SI-137,2267,59,39,15.293495772,46.402312640
vodice,lj,Vodice,,SI-138,4983,31,161,14.493146409,46.171167379
vojnik,ce,Vojnik,,SI-139,9009,75,119,15.308256627,46.318361062
vransko,ce,Vransko,,SI-189,2646,53,50,14.944483069,46.236384853
vrhnika,lj,Vrhnika,,SI-140,17613,116,151,14.294816708,45.959168729
vuzenica,sg,Vuzenica,,SI-141,2649,50,53,15.159875258,46.568353708
zagorje_ob_savi,za,Zagorje ob Savi,,SI-142,16379,147,112,14.951638022,46.133764573
zavrč,mb,Zavrč,,SI-143,1527,19,78,15.165648860,46.259056821
zreče,ce,Zreče,,SI-144,6600,67,98,16.046105313,46.361544655
žalec,ce,Žalec,,SI-190,21528,117,184,14.110305886,46.218747728
železniki,kr,Železniki,,SI-146,6699,164,41,15.800800768,46.282516194
žetale,mb,Žetale,,SI-191,1303,38,34,14.115392287,46.046375024
žiri,kr,Žiri,,SI-147,4981,49,101,14.168859963,46.410644462
žirovnica,kr,Žirovnica,,SI-192,4465,43,102,15.366463841,46.400166168
žužemberk,nm,Žužemberk,,SI-193,4741,164,29,14.931030870,45.808011937
