date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2010-10-22,,,,,,1,1,30,,,,1,1,,,24
2010-10-23,,,,,,,1,24,,,,,2,1,5,23
2010-10-24,,,,,,,3,33,,,,,,2,1,23
2010-10-25,,,,,1,,1,34,,,,,,4,,25
2010-10-26,,,,,,,3,23,,,,,,,2,24
2010-10-27,,,,,,,2,28,,,,,1,1,2,28
2010-10-28,,,,,,,2,29,,,,1,,1,1,10
2010-10-29,,,,,,,1,25,,,,,,3,5,19
2010-10-30,,,,,,,1,29,,,,,,2,3,26
2010-10-31,,,,,1,1,1,30,,,,,,1,2,28
2010-11-01,,,,,,,1,27,,,,,1,,1,27
2010-11-02,,,,,,,1,26,,,,,,,2,32
2010-11-03,,,,,,1,2,22,,,,,,,1,21
2010-11-04,,,,,,,1,20,,,,,,1,2,19
2010-11-05,,,,,,1,1,36,,,,1,,1,2,16
2010-11-06,,1,,,,1,2,23,,,,,1,,3,21
2010-11-07,,,,,,,1,29,,,,,2,1,3,19
2010-11-08,,1,,,,1,,25,,1,,,,2,2,25
2010-11-09,,,,,,,,16,,,,,,1,4,29
2010-11-10,,,,,,,1,21,,,,,,,3,13
2010-11-11,,,,,,,1,19,,,,,,3,4,24
2010-11-12,,2,,1,1,2,2,27,,1,,,2,1,2,11
2010-11-13,,,,,,,2,25,,,,,,1,2,18
2010-11-14,,,,,,,2,29,,,,,,1,,17
2010-11-15,,,,,,,4,31,,,,,,1,4,27
2010-11-16,,,,,,,2,17,,,,,1,2,3,25
2010-11-17,,,,,,1,1,20,,,,,,1,,17
2010-11-18,,,,,,,1,28,,,,2,2,3,2,26
2010-11-19,,,,,,2,2,21,,1,,,3,,2,22
2010-11-20,,,,,,1,1,19,,1,,,,1,3,16
2010-11-21,,,,,,,,18,,,,,1,2,3,18
2010-11-22,,,,,,,2,28,,,,,1,,6,22
2010-11-23,,,,,,,1,28,,,,1,1,1,4,19
2010-11-24,,,,,,,1,30,,,,,,,2,22
2010-11-25,,,,,,1,2,23,,,,,2,,3,26
2010-11-26,,1,,,,,,29,,,,,,3,4,11
2010-11-27,,,,,,2,,24,,,,,,1,5,27
2010-11-28,,,,,,,3,32,,,,,,2,1,21
2010-11-29,,,,,,1,1,30,,,,1,2,1,2,24
2010-11-30,,,,,,,2,29,,,,,,1,2,26
2010-12-01,,,,,,1,,23,,,,1,,2,2,20
2010-12-02,,,,,,1,2,30,,,,,1,,2,14
2010-12-03,,1,,,,,3,25,,,,,,1,3,19
2010-12-04,,,,,,1,4,29,,,,,,3,2,26
2010-12-05,,,,,,1,3,26,,,,,1,2,2,19
2010-12-06,,,,,,,1,32,,,,,1,1,3,13
2010-12-07,,,,,,,1,22,,,,,,,3,18
2010-12-08,,,,,,,1,16,,,,,,,1,29
2010-12-09,,,,,,,1,26,,,,1,,2,2,16
2010-12-10,,1,,,,2,,23,,,,,,1,4,24
2010-12-11,,,,,,,,28,,,,,,2,4,27
2010-12-12,,,1,,,,2,23,,,,,,,1,20
2010-12-13,,,,,,,2,30,,,,,1,1,3,20
2010-12-14,,,,,1,1,1,30,,,,,1,1,3,27
2010-12-15,,,,,,1,1,20,,,,,1,1,5,19
2010-12-16,,,,,,1,2,27,,,,,,1,6,22
2010-12-17,,,,,,1,,23,,1,,,,2,5,31
2010-12-18,,,,,,,2,29,,,,,,,5,31
2010-12-19,,,,,,,2,32,,,,,,2,1,33
2010-12-20,,,,,,,,28,,,,,,2,5,24
2010-12-21,,,,,,,2,40,,,,,,1,8,18
