,datum,WWTP,Statistična_regija,Različica.virusa,Delež.različice
125,2022-12-27,ČN_Kranj,Gorenjska,BQ.1* [Omicron (BQ.1.X)],0.4657839999714378
126,2022-12-27,ČN_Koper,Obalno-kraška,BQ.1* [Omicron (BQ.1.X)],0.5032969999963683
127,2022-12-27,CČN_Postojna,Primorsko-notranjska,BQ.1* [Omicron (BQ.1.X)],0.5886209999980747
128,2022-12-27,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.3361870002198906
129,2022-12-29,ČN_Novo_mesto,Jugovzhodna Slovenija,BQ.1* [Omicron (BQ.1.X)],0.5932199999986988
130,2022-12-28,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BQ.1* [Omicron (BQ.1.X)],0.4520881699900633
131,2022-12-29,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.7088389970093516
132,2022-12-27,CČN_Slovenj_Gradec,Koroška,BQ.1* [Omicron (BQ.1.X)],0.4042549999511406
133,2022-12-27,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.5615654597170102
134,2022-12-28,ČN_Celje,Savinjska,BQ.1* [Omicron (BQ.1.X)],0.5365838999919497
135,2022-12-27,ČN_Nova_Gorica,Goriška,BQ.1* [Omicron (BQ.1.X)],0.5728159999794366
136,2022-12-27,ČN_Domžale_Kamnik,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.5164319999416499
137,2022-12-27,CČN_Ljubljana,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.5815773699868398
138,2022-12-28,CČN_Zagorje,Zasavska,BQ.1* [Omicron (BQ.1.X)],0.4599449999873329
139,2022-12-28,CČN_Trbovlje,Zasavska,BQ.1* [Omicron (BQ.1.X)],0.3458459999983055
140,2022-09-27,ČN_Koper,Obalno-kraška,BA.5* [Omicron (BA.5.X)],0.9980842897520366
141,2022-09-27,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.7207201999630944
142,2022-09-26,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.9986089999583636
143,2022-09-26,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.9983309999702028
144,2022-09-27,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.995792459993732
145,2022-09-26,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.985254930812436
146,2022-09-26,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9496559995997302
147,2022-09-27,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.998643150078236
148,2022-09-27,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9761451899699842
149,2022-09-27,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9819819975575512
150,2022-09-26,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.9405821639246902
151,2022-09-27,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.9563861998730117
152,2022-09-27,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9807703098365786
153,2022-09-26,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9513241198820565
154,2022-11-03,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.9961979999981112
155,2022-11-03,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.9821428997366852
156,2022-11-02,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9837861998464772
157,2022-11-03,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.6738296998956195
158,2022-10-03,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9643383699886802
159,2022-10-04,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.726222599991738
160,2022-10-03,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9317106396712292
161,2022-10-03,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.9999999999253778
162,2022-10-04,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.99831399998836
163,2022-10-04,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.956800719992688
164,2022-10-04,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.985981818730948
165,2022-10-04,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9802419799562984
166,2022-10-04,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9985939999945777
167,2022-10-03,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.994989499518145
168,2022-10-04,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9834446099435362
169,2022-10-04,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.9955610500531278
170,2022-12-06,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.5496353199981904
171,2022-12-06,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.6250527999312817
172,2022-12-06,OČN_Šaleške doline,Savinjska,BQ.1* [Omicron (BQ.1.X)],0.5821329999903179
173,2022-12-06,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.8274160597991371
174,2022-12-05,CČN_Ljubljana,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.4906829997682718
175,2022-12-05,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.7559087499030842
176,2022-12-06,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.8062089999306322
177,2022-12-05,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.7892397398935405
178,2022-12-06,ČN_Novo_mesto,Jugovzhodna Slovenija,BQ.1* [Omicron (BQ.1.X)],0.6382579999041326
179,2022-12-05,ČN_Koper,Obalno-kraška,BQ.1* [Omicron (BQ.1.X)],0.6158297999975575
180,2022-12-06,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.5848038798580801
181,2022-12-05,ČN_Domžale_Kamnik,Osrednjeslovenska,BQ.1* [Omicron (BQ.1.X)],0.4591269999964382
182,2022-12-05,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.5189019500231732
183,2022-12-05,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.7087153199893015
